"receita";"uniorcam";"arrecadado_janeiro";"arrecadado_fevereiro";"arrecadado_marco";"arrecadado_abril";"arrecadado_maio";"arrecadado_junho";"arrecadado_julho";"arrecadado_agosto";"arrecadado_setembro";"arrecadado_outubro";"arrecadado_novembro";"arrecadado_dezembro";"meta_1bim";"meta_2bim";"meta_3bim";"meta_4bim";"meta_5bim";"meta_6bim";"caracteristica_peculiar_receita";"recurso_vinculado";"complemento_recurso_vinculado";"exercicio_base"
"00000131001140000000";"0201";0;0;0;0;0;0;0;0;13,8;0;12,61;0;0;0;0;0;0;0;0;1;NA;2018
"00000132000000000000";"0201";377571,48;148244,97;165909;55345,26;30611,34;61640,93;296476,77;56435,48;70924,75;782100,04;149596,67;227480,63;295834,52;296101,33;296821,83;295834,52;302489,25;297321,76;0;0;NA;2018
"00000132100000000000";"0201";377571,48;148244,97;165909;55345,26;30611,34;61640,93;296476,77;56435,48;70924,75;782100,04;149596,67;227480,63;295834,52;296101,33;296821,83;295834,52;302489,25;297321,76;0;0;NA;2018
"00000132100100000000";"0201";9190,93;9944,18;12729,77;11824,87;13676,97;15465,36;17445,75;18823,44;15023,4;16220,37;14228,48;9992,45;22225,94;22492,75;23213,25;22225,94;28880,67;23712,83;0;0;NA;2018
"00000132100110000000";"0201";9190,93;9944,18;12729,77;11824,87;13676,97;15465,36;17445,75;18823,44;15023,4;16220,37;14228,48;9992,45;22225,94;22492,75;23213,25;22225,94;28880,67;23712,83;0;0;NA;2018
"00000132100110100000";"0201";5064,96;4391,25;5745,27;5416,81;5928,86;5730,86;5757,15;5894,21;4527,92;5133,72;4076,25;2933,03;0;266,81;987,31;0;6654,73;1486,66;0;0;NA;2018
"00000132100110102000";"0201";771,54;653,03;998,52;1293,17;1519,42;1305,42;1329,71;1244,48;1167,8;1447,92;1244,11;798,49;0;0;0;0;0;0;0;31;NA;2018
"00000132100110103000";"0201";2858,01;2374,88;3261,1;2720,39;3057,11;3154,15;3162,6;3267,22;2653,01;2687,06;2078,74;1523,21;0;266,81;890,28;0;3551,05;1486,66;0;0;NA;2018
"00000132100110103010";"0201";488,24;357,96;311,71;261,32;207,72;218,46;123,41;48,58;0;0;0;0;0;0;0;0;0;0;0;4510;NA;2018
"00000132100110103020";"0201";120,29;95,36;110,6;107,31;106,59;108,24;114,62;120,71;100,61;103,77;83,94;53,68;0;0;0;0;0;0;0;4111;NA;2018
"00000132100110103030";"0201";235;186,26;216,07;209,62;208,22;211,43;223,92;235,8;196,54;228,35;207,41;208,41;0;0;0;0;0;0;0;4303;NA;2018
"00000132100110103040";"0201";89,98;89,62;87,21;87,19;84,35;68,38;19,42;2,96;1,49;1,49;0;0;0;266,81;0;0;0;0;0;4935;NA;2018
"00000132100110103050";"0201";47,8;36,84;41,75;37,94;37,92;38,11;40,34;42,25;34,91;40,61;36,19;36,8;0;0;126,39;0;0;0;0;4710;NA;2018
"00000132100110103060";"0201";10,04;10,08;9,77;9,8;9,48;7,85;2,49;2,5;2,51;0;0;0;0;0;0;0;0;0;0;4510;NA;2018
"00000132100110103070";"0201";87,12;69,78;80,16;76,62;64,67;45,35;40,05;41,97;34,66;12;0;0;0;0;237,06;0;0;0;0;4720;NA;2018
"00000132100110103080";"0201";98,51;78,29;89,17;86,17;85,97;86,27;90,62;95,28;78,89;90,05;55,79;44,19;0;0;265,97;0;0;0;0;4710;NA;2018
"00000132100110103090";"0201";38,45;33,56;143,2;96,1;120,9;138,05;153,99;156,68;166,54;206,55;190,34;58,79;0;0;0;0;0;0;0;4050;NA;2018
"00000132100110103100";"0201";172,6;137,53;154,56;146,47;138,05;109,37;63,71;50,77;40,85;9,56;0;0;0;0;0;0;0;0;0;4590;NA;2018
"00000132100110103110";"0201";148,41;117,96;128,48;8,86;8,84;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;4521;NA;2018
"00000132100110103120";"0201";478,77;352,37;389,85;377,83;380,04;381,61;401,69;421,71;349,8;406,63;368,82;344,27;0;0;0;0;0;0;0;4931;NA;2018
"00000132100110103130";"0201";592,49;474,97;460,73;440,15;442,18;443,91;429,14;415,94;299,95;231,36;181,3;82,4;0;0;0;0;0;0;0;4931;NA;2018
"00000132100110103140";"0201";18,39;14,17;16,07;14,59;14,59;14,67;15,51;16,26;13,43;15,66;13,84;5,38;0;0;0;0;0;0;0;4520;NA;2018
"00000132100110103150";"0201";90,54;84,99;85,33;82,69;79,99;80,29;80,59;80,89;81,19;81,49;81,79;82,1;0;0;260,86;0;0;0;0;4760;NA;2018
